pname,playtime
archon,3462567
twist,3462261
psellion,3457765
caleba,3454013
UglyThing,3448490
Cerran,3442796
danielguo94,3440995
cbg1004,3439216
ParallaxScroll,3432711
candlesan,3432510
horvathsaigyou,3430534
mrath,3427646
miscthings,3427175
grindst0ne,3423780
Jannitor,3421038
biffMalibu,3420083
sleevener,3419752
MeredeathGrey,3418040
Gruesome,3412781
NotMyLeg,3412679
Charmandara,3410142
COBRA,3410075
Melum,3405727
Sagrath01,3405672
gammafunk,3404863
suboptimal,3395853
Grorgnorb,3394074
amalloy,3394063
d2r123,3391218
jarrodb,3388616
Misha,3386977
Nethershadow,3386430
Bvern,3385796
wojtek,3385687
Superwelder,3385005
strifetoe,3384961
Moanerette,3376140
oplop,3376056
AlphabetPasta,3375108
banei,3372440
grumblor,3372212
KarmaDistortion,3366907
laz,3364376
dck,3361390
tehpwn,3352817
akaean,3351442
Enzo,3348498
rimel,3347974
happinesssam,3347805
p1v0,3347393
Xenophon,3346476
Hyungi,3344996
Stonar,3343441
Kite,3343163
ryw,3343149
snoopy,3342609
Dusty,3342186
kthxbai,3341483
Zdeegee,3341026
asonge,3323670
hannobal,3323438
MisterPig,3322337
Saty,3319046
psychoDad,3316226
Tyryt0,3306700
tormodpwns,3303634
sipior,3303261
deathshade,3300967
Radicchio,3300502
eith,3298951
mpa,3295973
crawlian,3295789
humeral,3295043
mive,3290038
BrocoLee,3289894
Igxfl,3289291
whw,3289244
goatbear,3285526
vk65535,3285495
ober,3282986
Scarr,3279406
NormalPerson7,3278997
Britaniac,3278992
smajdalf,3276246
Alarkh,3272536
Uhlv,3271794
ereinion,3270054
mandarbmax,3268889
blister,3265279
Anon1729,3264270
phyphor,3260732
Behavioral,3259827
oldnick,3257911
George,3257846
brujo666,3255073
FlamingLnfernal,3254976
wwf,3253988
evilmike,3253242
Torax,3253139
nerdbeard,3252667
msa,3251140
rocnal,3250753
Liquorice,3250152
GrandVizier,3249474
madasgardian,3247987
Pikaro,3247252
pblur,3246388
erdraug,3246044
xorpalm,3245924
jlc4533,3240755
thromnambular,3237906
Sabaki,3237009
Iwannabefree,3233309
Lawman0,3227886
Aer1al,3223373
nOOne,3217058
Howlingfantods,3217040
pichaelthompson,3216213
Yunor,3215019
ToastyP,3214621
hatguy,3213343
Morbidden,3212223
redmage,3212147
LetItHappen,3209724
Vhaine,3207603
Apollyon,3207306
rlgrobin,3207255
Rhok,3206075
huhhuhhuh,3204816
FreeHugs,3202888
Helmschank,3202364
Chrysalis,3200955
tapin,3198990
Guardianrusn,3198797
taqueso,3196471
nono,3194565
hong,3192888
sleeves,3189509
Mnemonic,3187000
Amao,3186794
Jerry,3185832
voxelverse,3181627
m3hm3h,3181312
hawkwood,3179896
Setherick,3176419
kefirnik,3176404
Artagas,3175990
mahalanobis,3173217
Daydreamer,3164521
cojito,3155238
inkslinger,3153480
Hienro,3153393
jotwebe,3152605
Monkaria,3151298
puddinbane,3150157
pleonasm,3149170
Milestone,3146915
eliotn,3144313
jdpr,3141063
Ishish,3140526
ophanim,3140408
Mayhem,3138409
Brathek,3135789
Tasonir,3133524
aredel,3130120
temitten,3128904
Kogan,3127572
Anathematize,3124585
seren,3121107
TuffENuff,3118018
Starve,3117568
chilliwack,3116210
Gonff,3115087
vev,3113146
hemabe,3109574
Gruud,3109101
Styro,3107588
randart,3105272
adagio,3104889
Spinaci,3104350
Dani,3104186
Alkatraz,3104046
Hisar,3103884
Soeti,3099674
acwest,3098512
Soadreqm,3096532
Yorikke,3094333
davidgn,3094057
MatthieuS,3093932
bdeadly,3089049
klsh78012,3088122
olourkin,3087508
graki42,3084035
Haru,3078187
ahorribleplayer,3076862
Scuka,3076846
Raine357,3072957
azzkikr,3068395
steves,3068095
Stossel,3067098
cliffracer,3065834
GEC,3062472
Katsumi,3060858
JeffiDaFish,3060602
Jaetan,3060536
Jeffwins,3060532
LogicNinja,3060476
smocul,3056791
lilbthebasedgod,3050972
znke,3050958
drcatpants,3049004
Slobodan,3046912
meatyocre,3045257
mmoncure,3043682
bananaglory,3041642
Muu,3041615
Kaiser,3040493
crux,3039516
BadJoke,3035956
WereVolvo,3032988
WaifuGate,3032593
Probably,3031151
glaas,3028454
erf,3027520
SkeletonJelly,3027295
Condegh,3025817
Cykl0x,3025665
sscrono2,3024631
neops,3024529
mroovka,3024340
EvilAshe,3022778
Steadysplat,3021904
Gearid,3017830
Gadfly,3016480
Draggles,3015663
KidC,3015069
kokoro,3010403
Feirund,3008899
GreatCaesar,3008091
NOSAYAM,3005028
Daemonika,3003306
jih0508,3001597
wafflepants,2996709
violetj,2995321
dstrtn,2993067
EugeneJudo,2990893
rpophessagr,2990744
Shadowablaze,2990390
Squonk,2990278
zednom,2983917
Phrizz11,2983177
kaikaun,2982721
darkmist29,2977023
luxidream,2976794
Grijm,2974000
feta,2973120
Danei,2971049
Vigga,2967610
nivlat,2962805
wineyard,2957488
Vajrapani,2955006
SomeoneAwful,2954595
bees,2954396
Midn8,2953549
braveplatypus,2949366
pantaril,2948716
timbw,2948111
soonmide,2947247
Tartanist,2946452
n1000,2945696
Insomniak,2945384
jenius,2942814
Ofeo,2942647
MisterFreud,2938771
poop,2937458
jefkin,2937093
zeunysos,2936544
crawlcharacter,2936353
shugdite,2935540
perunasaurus,2935252
Wark,2926960
PeterQ,2925338
Jabberih,2925058
eyesofgods1,2924966
Chobophobe,2923748
neetthing,2920057
Xenene,2918545
worldfamousw,2918263
Inchmeat,2915340
bza,2911011
bananaken,2910079
WindshieldViper,2910016
momplestiltskin,2909250
pkoi,2908665
malx,2908655
IanDavid,2907008
mirui,2902623
inspector071,2902269
asciimoo,2902063
DrLGR,2901426
magicarp,2899876
barnex,2899243
Bananafolds,2898600
louisi3,2896706
BugHunter,2895200
omniscient,2894517
Miron,2894087
Shapermc,2893790
thatJJthatGod,2890510
Taxman66,2890009
hyperbowl,2887865
ew1980,2882953
MindToWaste,2880711
RaHiT,2877250
Xolotl,2875682
Masnef,2875238
Vilenia,2873618
Fa,2873392
freelancePsychic,2871989
hyde0630,2871569
s009255,2867740
nikheizen,2864888
Ixlyth,2863909
alen,2863533
zarath9,2862553
TheAppy,2862043
PaperRat,2858050
Hybrid,2856275
TSwampington,2855878
tocasia77,2854565
LiquidKrystal,2854524
sfogarty,2853204
kaianus,2851757
Valentain,2851597
Sysice,2851038
KevinV12000,2850546
Spacecar,2847847
Mgcat,2847689
takemehigh,2846414
Jeremie,2839701
barkas,2837094
rkskekfkakqktk,2835157
Luterac,2834590
Thantalas,2829284
simok,2825827
axecop,2825640
fiddlefuck,2825614
FishTaco,2824121
sweeks,2819388
sdcsdc157,2817905
Horhen,2815385
ktgrey,2813709
MolotovDodgeball,2812815
splat,2805589
Spathi,2805298
txstrosman,2805043
Eyebeam,2802112
Engwar,2800278
Name63,2799919
adamzap,2796660
MackTheKnife,2795049
Nilsyn,2793660
Andrea,2789741
possum,2789430
Kitty,2787521
Sticking,2786312
Waterpls,2785696
rgould,2783360
Mazaa,2782725
dracos369,2781802
lazyDog,2779065
DaemonM,2777927
pingpang,2774624
Implojin,2774529
glassbeat,2769602
ketsa,2767871
sugah,2765909
robotron1971,2765729
Shiori,2764273
drock42,2764098
Sbodd,2762998
rath,2762246
btt,2761153
lavumi,2760401
Taq,2758508
chequers,2758119
ZARRMARR,2757067
Zenkrye,2753054
igxen,2751963
ike,2751505
zzxc,2750677
Akrius,2750668
Mesmaeker13,2750227
Witidek,2749297
sweetandcool,2746737
rayg00n,2746614
sentinel,2745734
NyanDog,2744074
Garrluk,2743179
Ludicrosity,2743169
ShittingDickNipples,2739408
Tezca,2739124
raskol,2738785
shittywizard,2738287
Slurm,2738281
gritty,2738201
halfwitHQ,2738108
happy,2737604
kalodont,2734149
drimon19,2732577
beargit,2730709
Tang,2728672
Nino,2728176
jfcaron,2728092
dbsdud3269,2727727
pwrfulfish,2725959
HangedMan,2723883
nkym,2723800
kaboom,2722586
grocchini,2721672
Tommers,2720732
qtip2,2718348
Xoff,2718293
mungchungdo,2717686
Stoog,2716859
omnomnOMINOUS,2714626
ConnectionFaild,2714005
acidosis1,2711521
ISplatSpriggans,2711363
greynaab,2711329
UristMcRaven,2708886
Tiareth,2707993
Ryak,2707757
Dilyz,2702988
marsu,2702872
albinofish,2702373
nfogravity,2701205
bogleg,2700392
Miyamura,2699756
ABBCCCDDDD,2698374
lallenlowe,2697607
Danakh,2696910
WhiteBreeze,2695820
demonblade,2693708
Asanbosam,2693028
sergedm,2691026
Hgcwarrior,2689515
Sildraith,2688917
VanVeen,2688323
shoop,2684099
LunarHarp,2682088
Aelig,2682072
Maahes,2680713
Louis,2680629
tape,2677578
qborf,2675614
yamato,2672875
Orshelack,2671101
exodus,2667603
oXJerXo,2667326
Mandor,2666917
priceQQ,2665876
OneEyedJack,2665729
cstieg1,2665543
RitorJet,2664282
BoredOne,2663347
domi,2662112
Oerpetix,2661101
Froggeryz,2660945
leobuilt,2659428
zazu2006,2658107
Silenth,2656152
dormouse1001,2653631
Lemondrips,2652556
HOnnMNO,2652110
yap,2650859
vuolankoinen,2649522
twelwe,2646576
kengeki,2643172
Sikorkyl,2640445
kaper,2640072
sirdond,2638908
coatrack,2635890
HunfridMar,2635044
MysterX,2634638
jarmok,2633596
mercury,2631536
profreshinal,2630966
awe1100,2630781
Ziegl0r,2630043
Calypsia,2629201
ggeezz,2625759
finalsalamander,2624175
FACE,2624009
MrChinwatt,2623555
staplegun,2623255
Redear,2623119
R18,2620726
whrimfunis,2619952
DocJ,2619735
baghtru,2617664
MDvedh,2617502
Baraton,2615506
Realz,2613214
Endbringerleviathan,2613098
SAMrune,2612714
g057721,2612567
berise,2611067
ktulu8bugs,2610982
zejeff,2610929
Esse,2610919
stringdemon,2610213
melek,2608509
mhoghedin,2604569
Toad,2603914
Pyrusette,2603548
ajaj,2603082
Potronius,2602604
Poopmaster,2601493
RoadsterTracker,2597887
huldori,2596463
Ogrillon,2595735
Covenant,2594157
sorlin,2594054
tboon,2593036
Kidiri,2591466
offering,2591067
freshwatercrab,2590334
tekashi6x9,2588257
abixa,2586998
toastedzergling,2586885
viktor,2584252
we123456xf,2584063
rabel,2583975
NuclearFrisson,2583935
Mulqof,2582999
Chernop,2582428
4Hooves2Appendages,2582192
Naga,2581817
